Plate name,Plate Code[R1],Plate Code[R2],Well,Contents,TargetGene,TargetGeneNum,Count,Nuc Elongation[R1]_Nuclei,Nuc Intensity[R1]_Reference 1,G0-Phase (%) [Cell cycle][R1]_Reference 1.Reference 2,Nuc/Cell Intensity[R1]_Nuclei,Spacing (MIN)[R1]_Coordination,G1-G2M (%) [Cell cycle][R1]_Reference 1.Reference 2,Intensity (N+C)[R1]_Nuclei,Compactness[R1]_Nuclei,Nuc Intensity CV[R1]_Nuclei,Nuc Intensity[R1]_Reference 2,Neighbor Count (MIN)[R1]_Coordination,IxA (Cell)[R1]_Nuclei,Ki67 granule (%) [ki67-Cyto-granule][R1]_Organelles,Cell Intensity[R1]_Nuclei,Neighbor Count (SOI)[R1]_Coordination,Spacing (SOI)[R1]_Coordination,Neighbor Count (Lune)[R1]_Coordination,Nuc Intensity[R1]_Cells,Normal cell (%) [Enlarged nuclei][R1]_Nuclei,Grappe-like (%) [Grappe-shape][R1]_Nuclei,IxA (Nuc)[R1]_Nuclei,Chord Ratio[R1]_Nuclei,Normal shape (%) [Grappe-shape][R1]_Nuclei,Spacing (Lune)[R1]_Coordination,Nuc Intensity[R1]_Nuclei,S-Phase (%) [Cell cycle][R1]_Reference 1.Reference 2,Spacing (Gabriel)[R1]_Coordination,IxA (N+C)[R1]_Nuclei,Nuc Displacement[R1]_Nuclei,ki67 no granule (%) [ki67-Cyto-granule][R1]_Organelles,Light Flux[R1]_Nuclei,Bigger cell (%) [Enlarged nuclei][R1]_Nuclei,Nuc Area[R1]_Nuclei,Neighbor Count (Gabriel)[R1]_Coordination,Intensity[R1]_Organelles,Nuc 1/(Form Factor)[R1]_Nuclei
Plate_Prest2012_P09_P3,20110438,20110460,N - 13,Azacytidine-5 ,DNMT1,36,2,-0.9941901372,-1.4252111995,4.8534354299,-2.6746197056,12.4876651962,-2.06377359,-3.9664898413,0.0997028653,-2.7667586024,-0.7371177501,-3.5513499737,5.0560840555,0.5023804692,-2.6033822017,-4.5057787717,12.8428827915,-3.4881783226,-0.7371177501,-2.954451427,1.7876459,-0.6445448627,-0.2402902721,-1.7876463302,10.5766487585,-3.761746811,-1.3396918547,10.2273150411,-0.1745317998,-11.0070605027,-0.5023957984,2.0208780736,2.9544507804,9.9982459033,-5.1918175013,-0.4242450587,1.7871792682
Plate_Prest2012_P09_P3,20110438,20110460,L - 10,Flucytosine ,DNMT1,36,2,0.2407346897,0.2017287466,-0.6177014756,-0.137344172,-0.5469700138,0.727677843,0.5066845548,-0.7756956936,-0.5804005425,-0.5389178071,2.0596237367,0.1021378652,-0.2223719264,0.4359995176,1.2464070449,-0.5346853029,0.8552614309,-0.5389178071,-0.2572071085,-0.4312511971,0.7434350199,0.3253647357,0.43125241,-1.1278136967,0.1287540499,-0.319991313,-1.2143807113,-0.1770964966,0.6284833085,0.222937888,0.536854018,0.2572126575,0.809333102,0.2783703427,-0.4036981502,-0.6941921172
Plate_Prest2012_P13_P4,20110439,20110461,E - 15,Pramipexole ,DRD3,39,2,-0.306947304,2.916020506,-0.9709202917,0.0984543294,1.5853863424,0.0543449946,-0.4658190478,-0.7685876895,0.129662068,0.6572373548,0.3256352228,1.7867409516,2.1428934072,-0.5090504643,-0.8866431654,1.7732621425,-0.8183966386,0.6572373548,1.2845958597,0.2403182422,0.5277774424,0.1013005956,-0.2403196132,1.0206507525,-0.0702388745,0.3703716656,1.1842598459,0.9413776548,-0.3551524814,-2.142921473,1.0463488531,-1.2846032483,1.2271834317,-0.3903768736,0.7483837583,-0.4486721154
Plate_Prest2012_P05_P2,20110437,20110459,D - 18,Ropinirole HCl ,DRD3,39,2,-0.5173758645,-0.4967378779,0.2407379654,-1.2987919955,0.421102375,-0.662846729,-1.6412501073,-0.0995630936,-0.9069564445,0.8913496656,0.9944407692,0.4628013901,-0.0268563145,-0.9045469482,1.1026973232,0.6748856384,0.9594004517,0.8913496656,-2.8777428434,-0.2659282722,-0.1316783764,0.0681472898,0.2659252091,-0.0697315715,-1.5698466339,0.6945048807,-0.2195806862,-0.5403337758,-1.3925741956,0.0268578698,-0.6311367289,2.8777444513,2.1211096399,1.2111532133,-0.0893358969,0.302384545
Plate_Prest2012_P13_P4,20110439,20110461,H - 09,Ambrisentan ,EDNRA,40,2,-0.2189877836,1.1852686249,-0.9362992659,-0.2485730394,0.0271615116,-0.1066546831,-1.1521045829,-0.7272187943,-0.4309488582,0.7883698179,0.5722492516,0.2118762679,0.5808195924,-1.3664675228,0.4972468249,0.1868885498,0.0168043344,0.7883698179,-0.3582885232,-0.3406829866,-0.3393018075,-0.1011674701,0.3406817822,0.0040508039,-0.7085025652,0.5039818145,-0.1101669604,-0.1911527442,-0.1875720766,-0.5808277702,0.4424681929,0.35828288,1.0489867882,1.0103114598,0.1530103877,-0.6068881545
Plate_Prest2012_P13_P4,20110439,20110461,N - 05,Bosentan ,EDNRA,40,2,-1.8374534975,1.3529218365,-1.0522828365,-2.1214057287,-2.142008346,-0.058349191,-0.2502185502,0.5929637403,-2.8813068715,0.4855257191,0.5140758594,-0.143082262,0.6332122353,0.5909520376,3.0376673901,-1.7604613433,3.5637803344,0.4855257191,-2.5617326469,1.2370029588,0.298132749,-1.3353925922,-1.2370047504,-2.8201517367,-1.604674689,0.509664016,-2.9982217245,0.181031503,-1.0667604019,-0.6332264686,-0.047259014,2.5617313661,4.1240818364,3.410744626,0.3303411781,0.9171613709
Plate_Prest2012_P13_P4,20110439,20110461,F - 17,Cladribine ,EMPTY,41,2,1.329779501,3.3527965882,-0.8321500214,-1.7787857295,11.39282337,0.0095424064,-2.3524680678,-1.0569875918,-1.6873935107,0.96202216,-0.2759541435,7.3928208802,5.5830747142,-1.2162538143,-3.0045550593,11.7280880728,-2.8796023888,0.96202216,-8.7673151078,1.1909542282,1.5561538326,1.8809041229,-1.1909562366,9.3822561469,-2.0089412129,0.351687277,9.0064174054,3.4222177168,-9.5079076502,-5.5831258975,3.2006817615,8.7673382254,10.0670303461,-2.4797360435,2.8149363458,0.4992408011
Plate_Prest2012_P13_P4,20110439,20110461,K - 09,Sertraline ,EMPTY,41,2,-4.264290485,-1.3588429527,0.5590419909,-7.2299667851,1.7164792767,-0.5626149498,-8.2391960069,3.5268447962,-9.7228587093,1.2552277632,-1.0091066041,-2.1602246431,4.872319374,-5.5578203202,-2.553151205,1.6410482437,-2.7687223729,1.2552277632,4.6356818713,14.5214375082,-9.4878423311,-6.1389488557,-14.5214547489,1.4053108486,-7.2582934169,0.2772346017,1.3965537978,-7.8051601755,-0.8341979487,-4.8723823582,-12.3046953396,-4.6356950925,-5.9029251547,-2.6833592339,2.0519238057,5.2700964637
Plate_Prest2012_P05_P2,20110437,20110459,P - 04,Alendronate sodium ,FDPS,44,2,0.7186912948,-1.4315500109,1.7006933031,-0.402117961,-0.2135490782,-1.0698204015,-0.6432605673,-1.0176105562,-0.2474691237,-1.4348210848,0.3730289319,-0.027031896,-1.1002239276,-0.405189324,0.7645796881,0.0592208088,0.9049697068,-1.4348210848,1.2505237579,-0.6721883258,-0.1289206554,1.1213582763,0.67218606,-0.4643581868,-0.5519358181,-1.1528871282,-0.4953609694,-0.3648808556,0.4038627947,1.100217426,-0.2828911101,-1.2505259759,0.3377072214,0.4268081258,-0.3913157182,-1.1576384302
Plate_Prest2012_P09_P3,20110438,20110460,G - 19,Ibandronate sodium  ,FDPS,44,2,0.29132506,1.3593665311,-1.2401300606,0.1578397288,3.1063551905,0.9249705802,-0.6465047091,0.0915275843,0.1760907069,-0.0080361967,-0.8315449121,1.5087513618,0.7928939625,-0.6939380634,-1.0759588304,3.2369383416,-0.9770175723,-0.0080361967,-2.6218152334,0.4073745172,0.8047194111,0.0582334689,-0.407373399,3.1484404676,-0.2246331945,-0.0770897509,2.8390391267,-0.175108465,-1.7356578299,-0.7929121177,1.6349410512,2.6218191964,1.737674706,-1.413498129,0.0629169944,0.346293029
Plate_Prest2012_P01_P1,20110436,20110458,A - 12,Baclofen (R.S) ,GABBR1,45,2,-1.0709520234,0.4915618163,-0.0378200144,-0.0836739912,2.5244869525,0.1689797194,-0.335415307,0.9097013654,-0.5625800979,-0.8715915638,-0.98108692,1.0951116488,-0.3235610346,-0.3045604355,-1.4814997398,2.2590784055,-1.7922405604,-0.8715915638,-0.6489618216,0.2668760659,0.3204823217,-0.9777128198,-0.2668761981,2.3853862332,-0.2696257063,-0.5612689812,2.2093383224,0.5264116612,-1.6629585666,0.3235579243,0.7105581943,0.6489556737,1.6962805347,-1.5306198375,-0.1270286287,1.0897358848
Plate_Prest2012_P05_P2,20110437,20110459,F - 03,Vigabatrin ,GABBR1,45,2,0.2250224332,1.2683777044,-1.4360129729,1.1569639391,-0.0529391548,1.0418853025,1.0417349584,-0.7397773167,1.0266506351,1.4109444757,0.4539002895,1.0448704711,1.524896401,0.4832813067,-0.6193832473,-0.1056704625,0.6614904598,1.4109444757,0.8888596821,-0.9966260926,-0.1173430331,0.9345169996,0.9966224934,0.2355936823,1.3665261149,0.7410184928,0.0280775845,1.3460372451,0.6445815218,-1.5248917602,1.3089002322,-0.8888586439,-0.657859919,-0.121724098,1.9925080331,-1.0862617068
Plate_Prest2012_P01_P1,20110436,20110458,N - 20,Amodiaquin dihydrochloride dihydrate ,HNMT,48,2,0.1067655383,-0.1270618522,0.518399211,-1.0953292274,1.042377992,-0.5813014881,-0.7738934839,-1.3888210089,-2.2216878244,0.3428428022,-2.3652106496,2.4738248805,0.49663087,-0.1079863173,1.2802419577,1.5077563822,2.4689112936,0.3428428022,-0.1525293225,-1.7641119552,-0.0471271994,1.0550069088,1.7641119669,0.3272087319,-0.9052185832,0.0255175263,-0.1070293948,0.5770696924,-2.8916480086,-0.4966443106,-0.0398284458,0.1525209953,1.7635809046,1.9736499486,0.2434620665,-1.4766529534
Plate_Prest2012_P01_P1,20110436,20110458,M - 08,Chlorhexidine ,HNMT,48,2,-1.2196640731,-1.4660904565,1.422528154,-1.4356473717,0.4193711047,-1.3731928602,-1.6238921998,0.4804913531,-1.1520974904,-0.1250437523,-2.2912328548,0.5722293098,-1.2522885523,-1.3574624511,-2.941692078,0.2007990195,-2.9906485703,-0.1250437523,-1.2438415867,1.5775992419,-0.86571197,-1.258772062,-1.577598853,0.9333804855,-1.7091652794,-0.9110754108,1.1504370975,-0.5450151793,1.1715480614,1.2522815912,-0.330476847,1.2438312938,2.6380798081,-2.1334073122,-1.8289453315,0.9988027225
Plate_Prest2012_P01_P1,20110436,20110458,C - 22,Nocodazole ,HPGDS,49,2,-1.1797079279,0.7150951338,1.1101006021,0.0182132864,9.2570436699,-0.7553051243,-0.3200981941,0.1457446431,-1.0075401186,-1.4621045046,-2.0363216199,7.2937454768,3.0281508778,-0.2428916701,-4.2438905232,9.7296701396,-3.8011312549,-1.4621045046,-8.8635225611,2.9633547731,2.8729219014,0.2394655172,-2.9633552775,8.4231394031,0.1474165502,-2.1090386267,7.4239166716,4.0920764659,-9.7544488845,-3.0281822135,3.8870815779,8.8635051867,8.096392957,-5.6147851751,-0.5331391297,1.1542718323
Plate_Prest2012_P05_P2,20110437,20110459,J - 04,Tranilast ,HPGDS,49,2,-0.0792598181,-1.8843506307,2.0645902409,0.4552255958,-0.3009319712,-1.1258449363,0.0155874804,-0.3848398681,0.0319137692,-1.1728930978,-0.702739002,0.5517038605,-1.804118887,-0.3080645453,0.5020635249,-0.0637269676,0.6992201728,-1.1728930978,-0.8873850389,-0.3174249247,-0.1213877089,0.2361688163,0.3174243603,-0.5117949104,0.329722249,-1.6895239031,-0.5240538604,0.7113405033,0.1153923626,1.804118334,1.1029342139,0.8873848568,0.5845422442,0.9146412901,-1.5922180393,-0.0494467365
Plate_Prest2012_P01_P1,20110436,20110458,C - 10,Azathioprine ,HPRT1,50,2,-3.2247596883,0.2139142953,-0.1847375353,-1.8574319361,-0.940536483,0.3711224665,-0.233466236,1.5076217322,-2.2275294243,-0.5045753898,-0.011345235,0.3602564304,0.4172927905,0.4394866333,1.7128155743,-0.7210320471,1.5680499594,-0.5045753898,-2.6037242318,2.0378901556,0.315073156,-2.656094521,-2.0378905323,-1.3788451803,-1.3260592609,-0.7338959605,-1.5927892473,0.3395753642,-1.6192059145,-0.4173025894,0.1682894153,2.6037134176,4.8021664216,0.9341544969,0.4976582188,1.5168027201
Plate_Prest2012_P05_P2,20110437,20110459,N - 10,Mercaptopurine ,HPRT1,50,2,-3.5290507454,-2.7996516665,7.1950735842,-3.7155258793,2.0384573154,-6.2206034926,-4.350000559,2.218832976,-4.348683053,-1.5468023639,-0.4417300165,0.3298901645,-0.4441741109,-2.5295060388,0.2641071515,2.4415295484,0.168434534,-1.5468023639,-5.5646150086,3.8869409184,-0.1433970037,-3.2475349265,-3.8869385151,1.2492429676,-4.2996130605,-2.0356075641,1.2389383456,-1.9756400057,-3.1127286331,0.4441827471,-1.9853359583,5.5646108859,8.0492787961,0.5034829067,-1.0642189329,2.4038809597
Plate_Prest2012_P01_P1,20110436,20110458,I - 07,Betazole hydrochloride ,HRH2,52,2,-0.1698106355,0.3041887388,-0.3478477628,-0.2644343344,1.218632002,0.3445310648,-1.0571619186,0.4001520118,-0.0205428065,0.4414514486,-0.0206264135,0.460099165,-1.0399192959,-1.114409832,-1.3606233566,1.0219263816,-1.6285629565,0.4414514486,-1.7631703932,0.3131295085,-0.4622418016,0.0498556319,-0.3131296471,1.1064650145,-0.7174711975,0.1841041502,1.0929518262,-0.2526213939,-0.1625259453,1.0399117279,0.0542113041,1.7631620219,0.9456047515,-1.0001887468,-0.1867320891,0.4327880331
Plate_Prest2012_P01_P1,20110436,20110458,E - 13,Cimetidine ,HRH2,52,2,-0.5963591407,1.3750960313,-0.5027039534,0.0615808076,-0.6340425238,0.3881143515,1.2735556199,0.8759695185,-0.0727300856,0.1008806338,-0.241190306,1.3133572681,0.1560740183,1.5859816007,0.9259944442,-0.5223272925,0.5840364277,0.1008806338,-1.9369338174,0.477058458,1.3025219821,-0.8092230589,-0.4770585465,-0.8077119044,0.737825457,0.7513623251,-0.9257276637,1.3601097453,0.3650320676,-0.156077061,0.7398205123,1.9369248821,1.153858835,0.8637121135,-0.2782923968,1.0492245999
Plate_Prest2012_P01_P1,20110436,20110458,D - 09,Alverine citrate salt ,HTR1A,53,2,-0.391271765,0.220610474,0.1569238941,-0.6722534773,0.8727182229,-0.0547496564,-0.782250375,-0.2845303388,-0.023008681,-0.094677929,1.1805879834,0.3691122511,-0.3552553263,-0.5380164231,0.0278949286,0.962498278,0.095402302,-0.094677929,-1.4034984868,-0.545389304,-0.5603903897,-0.0435479729,0.5453894455,0.7159221298,-0.7812906274,-0.5280557871,0.5574790985,-0.3531044796,-0.99253762,0.3552430012,-0.4297574148,1.403495828,0.4305030179,0.2647721113,-0.2675800031,-0.4175703885
Plate_Prest2012_P13_P4,20110439,20110461,B - 03,Buspirone hydrochloride ,HTR1A,53,2,-0.4079973062,0.5585686498,-0.1796254891,-0.4966934512,-1.8707479807,-0.67024541,0.7061784035,0.1879521549,-0.3102668084,0.6343018806,0.9112622698,-0.2030446589,-0.2415118406,1.1926538204,1.5847904999,-1.6072548236,1.7100159153,0.6343018806,-0.2537834389,0.06921876,0.4011057473,-0.1600079638,-0.0692193739,-2.0750637472,-0.068030647,0.6965517402,-2.048105792,0.2403925097,0.0303565589,0.2414933258,-0.1530344249,0.2537772295,0.4423307035,1.5829428331,2.1437543581,-0.0241984607
Plate_Prest2012_P01_P1,20110436,20110458,M - 22,Dihydroergotamine tartrate ,HTR1D,54,2,-0.2619126771,0.125828472,-0.2457374654,-1.1982341706,-0.8114000735,-0.4342951261,-0.5157248357,0.2083325301,-0.9794002249,2.5242654545,1.6376873885,-0.8864480951,-0.5151984453,-0.2032491591,1.8982510148,-0.6118198178,1.4418827347,2.5242654545,-0.2335801643,-0.3703475821,-0.6525075603,-0.7826869215,0.3703480776,-1.1004664182,-1.0668752789,3.1252947943,-1.209352804,-0.7381094134,-0.5687436057,0.5151986975,-0.7100506348,0.2335720794,1.1092350882,2.0892211612,-0.0448414599,0.6106771089
Plate_Prest2012_P09_P3,20110438,20110460,G - 05,Sumatriptan Succinate ,HTR1D,54,2,1.2032192891,1.235110684,-1.2175802495,0.3448067114,-0.938847739,1.5789797009,-0.1124857932,-1.4946511776,0.6514801813,-0.7980686836,-0.5374731526,0.1133503958,0.1444895646,-0.388083631,-0.0091698054,-1.0250744558,0.3789729487,-0.7980686836,-0.7265535594,-1.2404895342,0.2232858323,1.282402558,1.2404890612,-0.65113334,0.1389310569,-0.7834095399,-0.7717894817,-0.178520927,1.9036723702,-0.1445011399,0.5966102587,0.7265465996,0.0092504389,0.3879027852,-0.1421728876,-0.9921869672
Plate_Prest2012_P09_P3,20110438,20110460,B - 12,Dolasetron mesilate ,HTR3A,56,2,-1.1649370554,0.8982420442,-0.4389446992,-1.2179912436,-0.7426626032,-0.242240737,-1.0241307223,0.8880643121,-1.602293009,0.0355658774,-2.0309874424,-0.2738523777,0.9989119847,-0.5945268356,0.2549338775,-0.4563070974,-0.1270601529,0.0355658774,-1.9240543272,0.7477525308,-0.477726418,-1.138383938,-0.7477535438,-0.7546251539,-1.4944365884,0.5735930048,-0.7008606245,-0.1809610094,-0.9948642534,-0.9989223397,-0.0546149259,1.9240543986,2.3528102859,0.3131377675,0.6854485147,1.4798035012
Plate_Prest2012_P13_P4,20110439,20110461,C - 18,Ondansetron Hydrochloride ,HTR3A,56,2,-0.9409146975,0.8254447052,-0.4101168786,-0.0598193255,0.2337461792,0.5703704525,0.7140285864,0.3558165958,-0.1133311149,-0.4379870921,-0.6318109046,1.9997783893,0.4779575301,1.0161770737,0.681339869,0.5336939902,0.5618903783,-0.4379870921,-0.370301452,0.0533607925,1.6164579169,-0.3592091847,-0.0533610284,-0.2207998283,0.3351004995,-0.3488563759,-0.3511925431,1.8263429382,-0.9010173491,-0.4779664823,1.385287932,0.3702946941,1.5682763578,0.8157253329,-0.0680927734,0.5205230076
Plate_Prest2012_P05_P2,20110437,20110459,J - 13,Ethionamide ,katG,101,2,-1.6392710466,0.454892174,-0.7940440994,-1.5052613675,-0.8229547273,-0.2486659139,-1.7830770375,0.7774507412,-1.1319456234,1.8981017957,0.5350756233,-1.557048822,0.353639086,-1.2039174109,1.4098614043,-0.7735019485,0.989076749,1.8981017957,-0.202450419,0.738851047,-0.1369957591,-1.3365409843,-0.7388519365,-1.0833798312,-1.8806099505,1.7930160964,-1.1568013095,-1.8018732931,-0.0447778397,-0.3536368848,-1.5397151397,0.2024476274,0.9829464455,1.1664492611,2.3558839685,0.836018825
Plate_Prest2012_P01_P1,20110436,20110458,B - 03,Isoniazid ,katG,101,2,-0.4272820395,0.1718645153,-0.2941048217,-0.7048729842,-1.1597041824,0.1523905781,0.0453340544,-0.1435476299,-0.6823841177,0.4859144756,0.3049845027,-0.1724844034,0.8889765053,0.4532828755,1.9737280931,-0.9532555581,1.1307741445,0.4859144756,-0.5143301592,-0.5100840034,-0.0355489674,-0.187778007,0.5100847331,-1.4863407859,-0.4226445983,0.7695549101,-1.6222067403,-0.071037608,-0.4701944489,-0.8889909707,-0.2607484419,0.5143214188,0.9415276642,1.9242155676,1.6457924455,-0.2758416448
Plate_Prest2012_P01_P1,20110436,20110458,A - 16,Diazoxide ,KCNJ11,59,2,-0.3772753251,0.6633609189,-0.4677833343,0.3997277267,0.7787662393,0.6109129259,0.4833004647,0.4908203529,0.2584889393,-0.5003515555,0.211898579,0.0807812187,0.668082969,0.3933391263,-0.4988646704,0.7798745866,-1.0358267989,-0.5003515555,-0.3785791232,0.8721663243,0.4872963027,-0.7600544898,-0.8721669794,0.7349926461,0.3980237356,-0.4047195683,0.786601497,0.4068448557,-1.6196815111,-0.6680968918,0.4597064557,0.3785702431,-0.2893456799,-0.7176231189,1.132072756,0.3416764193
